,Squadra,Risultato
0,Lazio,N
1,Napoli,V
2,Juventus,V
3,Sassuolo,P
4,Cagliari,V
5,Sampdoria,N
6,Udinese,V
7,Parma,V
8,Milan,N
9,Brescia,N
10,Atalanta,N
11,Verona,P
12,Bologna,P
13,Inter,V
14,Spal,P
15,Roma,N
16,Torino,P
17,Genoa,P
18,Lecce,N
19,Fiorentina,N
