,Squadra,Risultato
0,Brescia,N
1,Milan,V
2,Atalanta,P
3,Napoli,V
4,Juventus,P
5,Spal,P
6,Genoa,V
7,Lecce,P
8,Bologna,N
9,Sassuolo,P
10,Sampdoria,N
11,Cagliari,P
12,Inter,V
13,Lazio,P
14,Roma,V
15,Fiorentina,V
16,Verona,P
17,Parma,V
18,Torino,N
19,Udinese,V
