,Squadra,Risultato
0,Atalanta,P
1,Milan,N
2,Torino,P
3,Bologna,N
4,Verona,V
5,Roma,V
6,Sassuolo,P
7,Sampdoria,V
8,Lecce,N
9,Spal,N
10,Juventus,V
11,Napoli,N
12,Inter,V
13,Parma,N
14,Fiorentina,P
15,Brescia,P
16,Lazio,V
17,Udinese,P
18,Cagliari,N
19,Genoa,N
