,Squadra,Risultato
0,Torino,P
1,Genoa,P
2,Inter,V
3,Bologna,N
4,Spal,N
5,Verona,V
6,Lecce,P
7,Fiorentina,P
8,Atalanta,V
9,Roma,P
10,Lazio,V
11,Juventus,V
12,Brescia,P
13,Cagliari,N
14,Milan,N
15,Parma,P
16,Sampdoria,V
17,Sassuolo,V
18,Napoli,P
19,Udinese,V
