,Squadra,Risultato
0,Verona,P
1,Lecce,N
2,Inter,N
3,Genoa,V
4,Bologna,V
5,Atalanta,V
6,Spal,N
7,Torino,N
8,Roma,V
9,Fiorentina,P
10,Sassuolo,V
11,Juventus,N
12,Parma,N
13,Brescia,P
14,Sampdoria,P
15,Udinese,P
16,Napoli,N
17,Cagliari,N
18,Milan,P
19,Lazio,V
