,Squadra,Risultato
0,Spal,V
1,Verona,V
2,Genoa,P
3,Fiorentina,V
4,Atalanta,V
5,Bologna,N
6,Roma,N
7,Torino,N
8,Inter,P
9,Brescia,P
10,Parma,P
11,Sampdoria,P
12,Milan,V
13,Udinese,P
14,Lecce,P
15,Lazio,N
16,Cagliari,N
17,Napoli,N
18,Juventus,V
19,Sassuolo,V
