,Squadra,Risultato
0,Brescia,P
1,Bologna,N
2,Spal,P
3,Fiorentina,N
4,Genoa,P
5,Roma,V
6,Torino,N
7,Verona,V
8,Atalanta,V
9,Inter,V
10,Napoli,V
11,Udinese,N
12,Juventus,V
13,Milan,N
14,Lazio,V
15,Lecce,P
16,Parma,N
17,Cagliari,P
18,Sassuolo,P
19,Sampdoria,P
