,Squadra,Risultato
0,Juventus,V
1,Sassuolo,V
2,Lazio,P
3,Inter,P
4,Cagliari,P
5,Parma,P
6,Udinese,N
7,Brescia,V
8,Sampdoria,V
9,Napoli,V
10,Torino,P
11,Lecce,P
12,Milan,V
13,Bologna,V
14,Atalanta,V
15,Fiorentina,V
16,Genoa,N
17,Verona,P
18,Spal,P
19,Roma,P
