,Squadra,Risultato
0,Brescia,P
1,Spal,P
2,Genoa,V
3,Roma,P
4,Bologna,N
5,Atalanta,V
6,Juventus,V
7,Milan,N
8,Lecce,P
9,Napoli,P
10,Lazio,V
11,Verona,V
12,Sassuolo,P
13,Torino,V
14,Fiorentina,N
15,Parma,P
16,Cagliari,P
17,Sampdoria,N
18,Udinese,V
19,Inter,V
