,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs,mediagol_fatti h,mediagol_subiti h,varianzagol_fatti h,varianzagol_subiti h,mediagol_fatti a,mediagol_subiti a,varianzagol_fatti a,varianzagol_subiti a
0,Napoli-Spezia,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,1 , 0,2.1666666666666665,0.6666666666666666,1.940790217067952,0.816496580927726,0.8333333333333334,1.6666666666666667,0.983192080250175,1.0327955589886444
1,Inter-Torino,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1 , 0,2.0,1.3333333333333333,0.8944271909999159,1.3662601021279464,1.0,1.0,0.8944271909999159,1.095445115010332
2,Sampdoria-Milan,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,4.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1 , 2,0.5,1.8333333333333333,0.5477225575051661,1.329160135825126,2.0,1.0,1.4142135623730951,0.8944271909999159
3,Atalanta-Cremonese,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,1 , 1,1.6666666666666667,0.5,0.816496580927726,0.5477225575051661,0.8333333333333334,1.6666666666666667,0.752772652709081,1.2110601416389968
4,Bologna-Fiorentina,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2 , 1,1.1666666666666667,1.5,0.752772652709081,0.5477225575051661,0.8333333333333334,1.0,1.1690451944500122,0.8944271909999159
5,Lecce-Monza,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,2.0,1 , 1,0.6666666666666666,1.1666666666666667,0.5163977794943223,0.408248290463863,0.5,2.333333333333333,0.5477225575051661,1.0327955589886444
6,Sassuolo-Udinese,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1 , 3,0.6666666666666666,1.3333333333333333,0.8164965809277261,1.505545305418162,2.0,1.0,1.4142135623730951,1.5491933384829668
7,Lazio-Verona,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2 , 0,1.5,0.8333333333333334,1.0488088481701516,0.752772652709081,1.0,1.8333333333333333,0.8944271909999159,1.6020819787597222
8,Juventus-Salernitana,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2 , 2,1.5,0.6666666666666666,1.0488088481701516,0.816496580927726,1.5,1.0,1.51657508881031,0.8944271909999159
9,Empoli-Roma,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,1 , 2,0.8333333333333334,1.1666666666666667,0.752772652709081,0.752772652709081,1.3333333333333333,1.0,1.0327955589886446,1.5491933384829668
