,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs,mediagol_fatti h,mediagol_subiti h,varianzagol_fatti h,varianzagol_subiti h,mediagol_fatti a,mediagol_subiti a,varianzagol_fatti a,varianzagol_subiti a
106,Sassuolo-Genoa,2.0,1.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,2.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,5.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2 , 1,1.8125,1.4375,1.42448821218944,1.459166428707386,1.0,1.875,1.0327955589886444,1.3601470508735445
107,Torino-Verona,0.0,0.0,1.0,1.0,2.0,17.0,2.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1 , 1,1.625,2.0625,0.957427107756338,1.3889444433333775,1.25,0.9375,0.9309493362512627,0.7719024117939607
108,Napoli-Spezia,2.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,1 , 2,2.0625,1.0625,1.8062391868188443,0.9287087810503356,1.3125,1.9375,0.873212459828649,1.3400870618483465
109,Milan-Juventus,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,3.0,1.0,1 , 3,2.1875,1.1875,0.5439056290693574,1.0468205831628137,2.125,1.0,1.2583057392117916,0.7302967433402214
110,Benevento-Atalanta,1.0,2.0,2.0,0.0,2.0,10.0,1.0,2.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0,0.0,1 , 4,1.1764705882352942,1.7647058823529411,0.8828430011649198,1.7149858514250884,2.411764705882353,1.3529411764705883,1.697749375254331,1.0571882797418486
111,Genoa-Bologna,1.0,0.0,2.0,1.0,0.0,19.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2 , 0,1.0588235294117647,1.7647058823529411,1.0289915108550531,1.3932610920384718,1.3529411764705883,1.8235294117647056,1.2217393579743308,1.2862393885688164
112,Milan-Torino,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,2 , 0,2.176470588235294,1.1176470588235294,0.5285941398709243,1.053704948098403,1.5294117647058822,2.0588235294117645,1.007326105267277,1.344925101785138
113,Roma-Inter,2.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,2.0,2.0,2 , 2,2.176470588235294,1.5294117647058822,1.550616575658174,1.3746657347707991,2.5294117647058822,1.3529411764705883,1.5048939771136507,0.8617697249402124
114,Parma-Lazio,1.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0 , 2,0.7647058823529411,1.9411764705882355,0.9034248560828044,1.344925101785138,1.588235294117647,1.4705882352941178,0.8702602720890288,1.280510008689093
115,Udinese-Napoli,1.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1 , 2,1.1176470588235294,1.5294117647058822,1.1114378604524224,1.0675700831106785,2.0588235294117645,1.0588235294117647,1.7489492643904123,0.8993461677306268
116,Verona-Crotone,0.0,1.0,0.0,2.0,1.0,9.0,1.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,6.0,3.0,2 , 1,1.2941176470588236,0.9411764705882352,0.919558717697852,0.747545001596402,1.0,2.3529411764705883,1.0606601717798212,1.656093916063799
117,Fiorentina-Cagliari,1.0,1.0,2.0,1.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1 , 0,1.0588235294117647,1.3529411764705883,1.0880365478290537,1.1694644324747672,1.3529411764705883,2.0,1.1147408034263075,1.3228756555322954
118,Juventus-Sassuolo,1.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,3 , 1,2.176470588235294,1.0,1.2366938848016844,0.7071067811865476,1.7647058823529411,1.5294117647058822,1.3932610920384718,1.4627733530362594
