,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
0,Juventus-Lecce,2,1,2,2,0,4,2,1,2,1,2,3,2.0,1.0,1.3333333333333333,0.8333333333333334,0.8944271909999159,1.5491933384829668,0.816496580927726,0.752772652709081,3,1,2,3,2,0,1,0,1,4,2,2,2,1,1,1,2,0,1,0,1,0
1,Cagliari-Milan,1,0,0,1,0,19,2,2,2,0,2,2,0.3333333333333333,1.5,2.1666666666666665,1.3333333333333333,0.5163977794943223,1.224744871391589,1.1690451944500122,1.8618986725025253,0,0,1,0,0,0,2,2,0,2,2,4,2,1,1,0,1,1,5,0,1,3
2,Empoli-Salernitana,0,0,0,0,0,20,1,1,0,0,1,17,0.1666666666666666,2.1666666666666665,0.6666666666666666,1.6666666666666667,0.408248290463863,2.4832774042918904,0.816496580927726,0.816496580927726,0,0,0,0,0,1,2,2,7,1,2,1,0,0,1,2,1,2,3,1,1,0
3,Verona-Atalanta,2,2,0,1,0,10,2,0,2,0,2,6,0.6666666666666666,1.0,1.8333333333333333,0.8333333333333334,0.816496580927726,1.095445115010332,0.752772652709081,1.3291601358251257,1,2,1,0,0,0,1,3,0,1,2,1,3,2,2,0,2,0,3,0,0,1
4,Inter-Sassuolo,2,2,2,2,2,1,0,0,2,0,2,12,2.5,0.5,1.8333333333333333,2.0,1.6431676725154984,0.8366600265340756,1.6020819787597222,1.095445115010332,2,2,4,5,1,0,0,0,1,0,0,0,3,2,4,2,2,1,4,2,1,2
5,Lazio-Torino,0,0,2,0,1,15,1,0,2,2,1,9,1.1666666666666667,1.3333333333333333,1.0,1.1666666666666667,0.752772652709081,1.0327955589886446,1.095445115010332,1.602081978759722,1,0,2,1,1,2,1,1,3,1,0,1,1,3,1,0,4,0,0,1,2,0
6,Napoli-Udinese,2,2,0,1,1,7,0,1,1,1,0,18,2.0,1.0,0.3333333333333333,1.6666666666666667,1.4142135623730951,0.8944271909999159,0.5163977794943223,1.632993161855452,3,2,1,2,0,1,0,2,2,0,0,1,0,0,0,3,1,0,0,2,4,1
7,Frosinone-Fiorentina,0,2,1,2,1,8,2,1,0,2,2,5,1.5,1.3333333333333333,2.0,1.6666666666666667,1.378404875209022,1.0327955589886444,1.4142135623730951,1.3662601021279464,1,2,0,4,1,3,1,0,2,1,4,2,0,3,2,1,2,4,2,0,1,1
8,Monza-Bologna,0,2,0,1,1,14,0,1,2,1,1,11,0.6666666666666666,1.1666666666666667,0.5,0.6666666666666666,0.816496580927726,1.1690451944500122,0.8366600265340756,0.816496580927726,0,2,0,1,1,2,0,3,1,1,0,1,2,0,0,2,1,1,0,0,0,0
9,Genoa-Roma,0,2,0,1,0,16,1,0,0,2,1,13,1.3333333333333333,1.5,2.1666666666666665,1.8333333333333333,1.505545305418162,1.378404875209022,2.401388487243717,1.3291601358251257,1,1,0,2,0,4,0,1,2,1,2,1,1,7,1,2,2,2,0,1,4,1
10,Lecce-Napoli,1,2,1,2,0,6,2,0,1,1,2,5,1.1428571428571428,1.2857142857142858,2.2857142857142856,0.8571428571428571,0.8997354108424372,1.3801311186847085,1.4960264830861911,0.8997354108424372,2,2,1,1,0,2,0,1,0,1,2,1,2,0,4,0,2,2,0,1,0,4
11,Milan-Lazio,2,2,0,2,2,2,0,2,0,1,2,12,2.142857142857143,1.1428571428571428,1.0,1.4285714285714286,1.0690449676496974,1.772810520855837,0.816496580927726,0.9759000729485332,4,2,1,1,3,1,1,5,0,1,0,2,1,1,2,1,1,3,1,0,2,0
12,Salernitana-Inter,1,0,0,1,0,17,2,2,2,2,0,1,0.5714285714285714,2.0,2.7142857142857144,0.4285714285714285,0.7867957924694431,1.1547005383792517,1.6035674514745464,0.7867957924694431,1,0,0,1,0,1,2,3,1,1,2,4,5,1,1,0,0,1,0,2,0,4
13,Bologna-Empoli,1,2,1,1,1,13,0,0,0,0,2,19,0.8571428571428571,0.5714285714285714,0.1428571428571428,2.2857142857142856,1.2149857925879115,0.7867957924694431,0.3779644730092272,2.288688541085317,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,7,1,0,3,0
14,Udinese-Genoa,1,1,1,0,0,18,2,0,1,0,2,11,0.5714285714285714,1.7142857142857142,1.4285714285714286,1.5714285714285714,0.7867957924694432,1.4960264830861911,1.3972762620115435,1.272418020560704,1,0,0,0,1,1,0,0,2,4,1,0,2,0,4,0,1,2,1,1,2,2
15,Atalanta-Juventus,0,2,0,2,2,4,1,2,2,0,2,3,1.5714285714285714,0.7142857142857143,1.7142857142857142,0.8571428571428571,0.9759000729485332,1.2535663410560174,1.1126972805283737,1.4638501094227998,1,3,2,2,1,2,0,3,0,0,1,2,3,2,1,1,0,1,4,0,0,0
16,Roma-Frosinone,0,0,2,1,0,16,2,1,2,1,1,8,2.142857142857143,1.5714285714285714,1.2857142857142858,1.4285714285714286,2.1930626551751344,1.3972762620115438,1.3801311186847085,0.9759000729485332,1,1,7,1,1,2,2,0,1,4,2,0,4,1,1,1,0,2,1,1,2,0
17,Sassuolo-Monza,0,2,0,2,2,9,2,0,1,1,1,15,1.5714285714285714,1.8571428571428568,0.7142857142857143,1.0,1.618347187425374,1.0690449676496976,0.7559289460184544,1.1547005383792517,0,3,2,4,2,2,1,4,2,1,2,0,1,1,0,0,3,1,1,0,0,1
18,Torino-Verona,0,2,2,1,0,10,2,0,1,0,0,14,0.8571428571428571,1.0,0.5714285714285714,0.8571428571428571,1.0690449676496976,1.5275252316519468,0.7867957924694431,1.0690449676496974,1,1,3,1,0,4,0,0,1,2,2,1,0,0,0,1,3,0,1,1,0,0
19,Fiorentina-Cagliari,1,0,2,2,1,7,0,0,1,0,0,20,2.142857142857143,1.4285714285714286,0.2857142857142857,1.7142857142857142,1.3451854182690983,1.3972762620115438,0.4879500364742666,1.2535663410560174,2,0,3,2,1,2,4,2,0,1,0,1,0,0,1,2,2,0,2,3,3,0
20,Empoli-Udinese,0,0,0,2,0,19,1,1,0,0,1,17,0.125,2.0,0.5,1.5,0.3535533905932738,2.2677868380553634,0.7559289460184544,1.5118578920369088,0,0,0,1,0,2,7,1,0,3,0,0,0,1,2,0,0,2,4,2,0,0
