,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
80,Cagliari-Salernitana,0,0,0,0,1,19,0,2,0,0,0,20,1.1428571428571428,2.071428571428572,0.7857142857142857,2.071428571428572,0.9492622930986468,0.8287419301647447,0.892582375303981,1.328057326976612,0,1,0,1,2,3,2,2,2,2,2,2,0,0,0,4,1,1,3,2,1,1
81,Empoli-Fiorentina,2,0,2,1,0,12,2,0,2,0,2,7,1.5,1.8571428571428568,1.5,1.3571428571428572,1.286019499792345,1.0994504121565507,1.224744871391589,1.0818177620697813,4,0,2,2,1,2,2,1,2,2,3,0,3,0,4,0,1,0,1,3,2,1
82,Sampdoria-Verona,2,0,0,0,2,16,2,1,2,1,2,9,1.4285714285714286,1.8571428571428568,2.0,1.7857142857142858,1.1578684470436789,1.3506205330054124,1.1766968108291045,1.05090228108783,2,1,0,1,2,1,3,3,2,0,4,1,2,1,2,1,1,1,1,1,3,1
83,Juventus-Atalanta,1,0,0,2,2,8,1,2,1,2,2,4,1.2857142857142858,1.1428571428571428,2.0,1.2142857142857142,0.9138735334633752,0.8644378215075663,1.3008872711759818,0.892582375303981,1,1,1,1,2,1,2,2,0,0,1,3,2,2,5,1,1,2,1,2,0,1
84,Venezia-Inter,0,0,1,2,2,14,1,2,2,1,2,3,0.8571428571428571,1.5,2.4285714285714284,1.0714285714285714,0.8644378215075663,1.0190493307301365,1.3424596091494905,0.91687476825319,1,1,0,3,1,3,2,0,2,0,1,2,2,1,3,1,0,0,1,2,0,2
85,Udinese-Genoa,1,1,0,2,0,15,0,1,1,1,0,18,1.1428571428571428,1.4285714285714286,1.2142857142857142,1.8571428571428568,1.167320591199077,1.157868447043679,1.1217137594956024,1.0994504121565505,1,1,0,3,1,1,1,2,2,2,2,1,0,2,0,3,1,0,2,2,0,0
86,Milan-Sassuolo,2,2,2,1,0,2,2,2,0,0,1,13,2.142857142857143,1.2857142857142858,1.5714285714285714,1.5,1.0994504121565505,1.2043875831929896,1.016349857562362,0.8548504142651103,4,1,2,1,3,2,0,1,1,4,3,2,1,2,2,1,1,2,3,2,1,3
87,Spezia-Bologna,0,1,0,2,0,17,0,0,2,2,0,10,1.0714285714285714,2.2857142857142856,1.4285714285714286,1.7142857142857142,0.8287419301647448,1.7288756430151326,1.0163498575623615,1.8985245861972933,1,1,0,1,2,2,1,3,0,5,2,0,2,2,0,4,3,0,1,1,0,1
88,Roma-Torino,1,2,0,0,2,5,2,0,2,0,2,11,1.7142857142857142,1.0714285714285714,1.2142857142857142,1.0,1.0690449676496974,1.2066664642907567,1.3114039117603011,0.6793662204867574,0,2,1,2,2,0,1,2,3,0,3,0,3,0,2,2,1,0,1,1,1,0
89,Napoli-Lazio,1,2,2,1,0,1,0,2,1,2,0,6,2.142857142857143,0.5,1.7857142857142858,1.7857142857142858,1.231455852429764,0.8548504142651103,1.7177163475234931,1.2513728724621074,0,3,1,1,2,0,0,0,1,3,1,1,2,3,0,4,0,2,0,2,4,0
