,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
0,Juventus-Spal,2,2,1,2,2,2,0,0,2,0,0,19,1.8333333333333333,0.8333333333333334,0.8333333333333334,2.1666666666666665,1.329160135825126,1.1690451944500122,0.983192080250175,0.983192080250175,1,4,0,2,2,0,3,0,1,1,2,0,2,0,1,3,1,1,3,3,2,0
1,Sampdoria-Inter,0,0,0,2,0,20,2,2,2,2,2,1,0.6666666666666666,2.333333333333333,2.1666666666666665,0.3333333333333333,0.5163977794943223,1.3662601021279464,1.1690451944500122,0.5163977794943223,0,1,0,1,1,3,4,2,0,2,4,2,1,2,1,0,1,0,0,0,1,3
2,Sassuolo-Atalanta,0,2,0,2,0,10,2,0,2,1,2,3,1.8333333333333333,2.0,2.5,1.5,1.4719601443879746,1.6733200530681511,0.8366600265340756,1.0488088481701516,1,4,2,3,0,2,1,4,0,1,3,2,2,2,2,2,3,1,2,0,1,4
3,Napoli-Brescia,2,0,2,2,0,4,2,0,0,2,0,11,2.5,1.6666666666666667,1.1666666666666667,1.5,1.51657508881031,1.505545305418162,0.983192080250175,1.51657508881031,4,3,2,4,0,3,4,0,1,1,1,0,3,1,1,0,1,4,0,2,2,1
4,Lazio-Genoa,2,1,0,2,0,9,1,2,0,0,1,17,1.8333333333333333,0.6666666666666666,1.1666666666666667,2.1666666666666665,1.4719601443879746,0.816496580927726,1.1690451944500122,1.4719601443879744,3,1,1,2,0,0,1,2,0,1,3,2,1,1,0,3,1,2,3,0,4,0
5,Lecce-Roma,0,0,2,0,2,14,1,1,2,2,0,7,1.0,2.0,1.8333333333333333,1.5,1.2649110640673518,1.5491933384829668,1.4719601443879746,1.0488088481701516,0,0,2,1,3,4,1,1,4,1,3,1,4,2,0,3,1,2,1,2,0,1
6,Udinese-Bologna,2,0,0,0,1,18,1,2,2,0,1,8,0.5,0.8333333333333334,1.1666666666666667,1.1666666666666667,0.5477225575051661,1.1690451944500122,1.4719601443879744,1.1690451944500122,1,1,0,0,0,0,3,1,1,0,1,1,4,1,0,1,0,3,2,0,1,0
7,Cagliari-Verona,0,0,2,2,2,5,1,2,0,0,1,16,1.5,1.0,0.6666666666666666,0.8333333333333334,1.224744871391589,0.6324555320336759,0.5163977794943223,0.752772652709081,0,1,3,3,1,1,2,1,1,0,1,1,0,1,0,1,0,1,2,0,1,1
8,Milan-Fiorentina,0,2,2,0,0,13,0,0,1,1,2,15,0.6666666666666666,1.3333333333333333,1.8333333333333333,1.6666666666666667,0.5163977794943223,1.2110601416389968,1.1690451944500122,1.3662601021279464,0,1,1,0,1,1,0,0,2,2,3,1,0,2,2,4,2,0,2,1,1,3
9,Parma-Torino,0,2,0,0,2,12,2,2,0,0,2,6,1.3333333333333333,1.5,1.6666666666666667,1.6666666666666667,1.3662601021279464,1.0488088481701516,1.0327955589886444,0.816496580927726,0,3,1,0,1,1,1,3,2,0,2,3,1,0,2,1,2,2,1,1,3,2
