,squadra,esito
0,Brescia,vittoria
1,Napoli,sconfitta
2,Genoa,sconfitta
3,Verona,pareggio
4,Bologna,vittoria
5,Juventus,vittoria
6,Milan,pareggio
7,Roma,vittoria
8,Fiorentina,pareggio
9,Cagliari,sconfitta
10,Lecce,sconfitta
11,Parma,vittoria
12,Sampdoria,vittoria
13,Torino,pareggio
14,Atalanta,sconfitta
15,Udinese,sconfitta
16,Sassuolo,pareggio
17,Spal,sconfitta
18,Inter,pareggio
19,Lazio,vittoria
