,squadra,esito
0,Atalanta,vittoria
1,Sampdoria,vittoria
2,Bologna,pareggio
3,Milan,vittoria
4,Lecce,sconfitta
5,Roma,vittoria
6,Sassuolo,pareggio
7,Udinese,pareggio
8,Torino,vittoria
9,Spal,sconfitta
10,Brescia,sconfitta
11,Cagliari,sconfitta
12,Napoli,pareggio
13,Parma,sconfitta
14,Fiorentina,vittoria
15,Verona,sconfitta
16,Juventus,pareggio
17,Lazio,pareggio
18,Genoa,sconfitta
19,Inter,vittoria
