,squadra,esito
0,Brescia,sconfitta
1,Genoa,sconfitta
2,Fiorentina,sconfitta
3,Juventus,pareggio
4,Inter,vittoria
5,Lazio,vittoria
6,Parma,sconfitta
7,Napoli,sconfitta
8,Verona,sconfitta
9,Cagliari,vittoria
10,Atalanta,vittoria
11,Torino,vittoria
12,Lecce,vittoria
13,Sassuolo,pareggio
14,Spal,sconfitta
15,Udinese,sconfitta
16,Milan,vittoria
17,Bologna,vittoria
18,Roma,vittoria
19,Sampdoria,sconfitta
