,squadra,esito
0,Juventus,vittoria
1,Brescia,pareggio
2,Cagliari,vittoria
3,Lazio,vittoria
4,Milan,vittoria
5,Udinese,sconfitta
6,Sampdoria,sconfitta
7,Sassuolo,pareggio
8,Napoli,vittoria
9,Parma,sconfitta
10,Lecce,sconfitta
11,Genoa,pareggio
12,Torino,sconfitta
13,Fiorentina,sconfitta
14,Roma,sconfitta
15,Atalanta,vittoria
16,Bologna,vittoria
17,Verona,pareggio
18,Spal,sconfitta
19,Inter,vittoria
