,squadra,esito
0,Lazio,sconfitta
1,Brescia,sconfitta
2,Juventus,pareggio
3,Genoa,vittoria
4,Parma,pareggio
5,Fiorentina,pareggio
6,Cagliari,pareggio
7,Udinese,sconfitta
8,Napoli,pareggio
9,Inter,vittoria
10,Sassuolo,vittoria
11,Roma,vittoria
12,Atalanta,pareggio
13,Spal,sconfitta
14,Bologna,pareggio
15,Verona,pareggio
16,Lecce,pareggio
17,Sampdoria,vittoria
18,Milan,pareggio
19,Torino,sconfitta
