Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,15.0,22.0,7.0,2.0,0.0,1,23.0,7.0
Atalanta,9.0,14.0,5.0,3.0,0.0,2,21.0,6.0
Lazio,16.0,21.0,5.0,2.0,1.0,3,20.0,6.0
Udinese,9.0,19.0,10.0,2.0,1.0,4,20.0,6.0
Milan,9.0,18.0,9.0,2.0,1.0,5,20.0,6.0
Roma,3.0,12.0,9.0,1.0,2.0,6,19.0,6.0
Inter,2.0,16.0,14.0,0.0,4.0,7,15.0,5.0
Juventus,5.0,12.0,7.0,4.0,2.0,8,13.0,3.0
Sassuolo,1.0,11.0,10.0,3.0,3.0,9,12.0,3.0
Torino,-3.0,8.0,11.0,2.0,4.0,10,11.0,3.0
Salernitana,-2.0,12.0,14.0,4.0,3.0,11,10.0,2.0
Monza,-5.0,9.0,14.0,1.0,5.0,12,10.0,3.0
Fiorentina,-4.0,7.0,11.0,3.0,4.0,13,9.0,2.0
Empoli,-3.0,8.0,11.0,5.0,3.0,14,8.0,1.0
Spezia,-10.0,7.0,17.0,2.0,5.0,15,8.0,2.0
Lecce,-3.0,8.0,11.0,4.0,4.0,16,7.0,1.0
Bologna,-6.0,8.0,14.0,4.0,4.0,17,7.0,1.0
Verona,-9.0,8.0,17.0,2.0,6.0,18,5.0,1.0
Cremonese,-12.0,7.0,19.0,3.0,6.0,19,3.0,0.0
Sampdoria,-12.0,5.0,17.0,3.0,6.0,20,3.0,0.0
