Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,17.0,26.0,9.0,2.0,0.0,1,29.0,9.0
Milan,13.0,24.0,11.0,2.0,1.0,2,26.0,8.0
Lazio,18.0,23.0,5.0,3.0,1.0,3,24.0,7.0
Atalanta,8.0,16.0,8.0,3.0,1.0,4,24.0,7.0
Roma,3.0,13.0,10.0,1.0,3.0,5,22.0,7.0
Udinese,8.0,20.0,12.0,3.0,2.0,6,21.0,6.0
Inter,5.0,22.0,17.0,0.0,4.0,7,21.0,7.0
Juventus,10.0,17.0,7.0,4.0,2.0,8,19.0,5.0
Sassuolo,1.0,14.0,13.0,3.0,4.0,9,15.0,4.0
Torino,-3.0,10.0,13.0,2.0,5.0,10,14.0,4.0
Salernitana,-3.0,13.0,16.0,4.0,4.0,11,13.0,3.0
Empoli,-6.0,9.0,15.0,5.0,4.0,12,11.0,2.0
Bologna,-5.0,12.0,17.0,4.0,5.0,13,10.0,2.0
Fiorentina,-5.0,11.0,16.0,4.0,5.0,14,10.0,2.0
Monza,-9.0,10.0,19.0,1.0,7.0,15,10.0,3.0
Spezia,-11.0,9.0,20.0,3.0,6.0,16,9.0,2.0
Lecce,-5.0,9.0,14.0,5.0,5.0,17,8.0,1.0
Sampdoria,-12.0,6.0,18.0,3.0,7.0,18,6.0,1.0
Verona,-11.0,10.0,21.0,2.0,8.0,19,5.0,1.0
Cremonese,-13.0,9.0,22.0,4.0,7.0,20,4.0,0.0
