Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Atalanta,5.0,7.0,2.0,1.0,0.0,1,10.0,3.0
Roma,5.0,6.0,1.0,1.0,0.0,2,10.0,3.0
Inter,4.0,9.0,5.0,0.0,1.0,3,9.0,3.0
Napoli,7.0,10.0,3.0,2.0,0.0,4,8.0,2.0
Juventus,5.0,6.0,1.0,2.0,0.0,5,8.0,2.0
Milan,4.0,7.0,3.0,2.0,0.0,6,8.0,2.0
Lazio,3.0,6.0,3.0,2.0,0.0,7,8.0,2.0
Torino,0.0,5.0,5.0,1.0,1.0,8,7.0,2.0
Udinese,0.0,5.0,5.0,1.0,1.0,9,7.0,2.0
Salernitana,3.0,5.0,2.0,2.0,1.0,10,5.0,1.0
Fiorentina,0.0,3.0,3.0,2.0,1.0,11,5.0,1.0
Sassuolo,-2.0,3.0,5.0,2.0,1.0,12,5.0,1.0
Spezia,-4.0,3.0,7.0,1.0,2.0,13,4.0,1.0
Empoli,-1.0,2.0,3.0,3.0,1.0,14,3.0,0.0
Lecce,-2.0,3.0,5.0,2.0,2.0,15,2.0,0.0
Bologna,-3.0,3.0,6.0,2.0,2.0,16,2.0,0.0
Verona,-4.0,4.0,8.0,2.0,2.0,17,2.0,0.0
Sampdoria,-6.0,1.0,7.0,2.0,2.0,18,2.0,0.0
Cremonese,-5.0,4.0,9.0,0.0,4.0,19,0.0,0.0
Monza,-9.0,2.0,11.0,0.0,4.0,20,0.0,0.0
