Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,26.0,39.0,13.0,2.0,1.0,1,44.0,14.0
Juventus,19.0,26.0,7.0,4.0,2.0,2,37.0,11.0
Milan,15.0,33.0,18.0,4.0,2.0,3,37.0,11.0
Inter,13.0,37.0,24.0,1.0,5.0,4,34.0,11.0
Lazio,14.0,29.0,15.0,4.0,4.0,5,31.0,9.0
Atalanta,8.0,26.0,18.0,4.0,4.0,6,31.0,9.0
Roma,5.0,21.0,16.0,4.0,4.0,7,31.0,9.0
Udinese,6.0,25.0,19.0,7.0,4.0,8,25.0,6.0
Fiorentina,-1.0,21.0,22.0,5.0,6.0,9,23.0,6.0
Torino,-1.0,18.0,19.0,5.0,6.0,10,23.0,6.0
Lecce,-2.0,16.0,18.0,7.0,6.0,11,19.0,4.0
Bologna,-7.0,21.0,28.0,4.0,8.0,12,19.0,5.0
Empoli,-7.0,15.0,22.0,7.0,6.0,13,19.0,4.0
Salernitana,-6.0,21.0,27.0,6.0,7.0,14,18.0,4.0
Monza,-6.0,19.0,25.0,3.0,9.0,15,18.0,5.0
Sassuolo,-9.0,17.0,26.0,4.0,9.0,16,16.0,4.0
Spezia,-12.0,16.0,28.0,6.0,8.0,17,15.0,3.0
Verona,-15.0,15.0,30.0,3.0,12.0,18,9.0,2.0
Sampdoria,-22.0,8.0,30.0,3.0,12.0,19,9.0,2.0
Cremonese,-18.0,11.0,29.0,7.0,10.0,20,7.0,0.0
