Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Napoli,48.0,64.0,16.0,2.0,2.0,1,71.0,23.0
Juventus,23.0,45.0,22.0,5.0,5.0,2,56.0,17.0
Lazio,23.0,42.0,19.0,7.0,5.0,3,52.0,15.0
Inter,16.0,47.0,31.0,2.0,9.0,4,50.0,16.0
Milan,8.0,44.0,36.0,6.0,7.0,5,48.0,14.0
Roma,9.0,35.0,26.0,5.0,8.0,6,47.0,14.0
Atalanta,13.0,44.0,31.0,6.0,8.0,7,45.0,13.0
Udinese,6.0,37.0,31.0,11.0,7.0,8,38.0,9.0
Fiorentina,1.0,32.0,31.0,7.0,10.0,9,37.0,10.0
Bologna,-3.0,33.0,36.0,7.0,10.0,10,37.0,10.0
Torino,-4.0,29.0,33.0,7.0,10.0,11,37.0,10.0
Sassuolo,-5.0,35.0,40.0,6.0,11.0,12,36.0,10.0
Monza,-5.0,32.0,37.0,7.0,11.0,13,34.0,9.0
Empoli,-12.0,24.0,36.0,10.0,11.0,14,28.0,6.0
Lecce,-8.0,24.0,32.0,9.0,12.0,15,27.0,6.0
Salernitana,-16.0,31.0,47.0,9.0,12.0,16,27.0,6.0
Spezia,-20.0,23.0,43.0,9.0,13.0,17,24.0,5.0
Verona,-19.0,22.0,41.0,7.0,16.0,18,19.0,4.0
Sampdoria,-28.0,16.0,44.0,6.0,18.0,19,15.0,3.0
Cremonese,-27.0,22.0,49.0,10.0,16.0,20,13.0,1.0
