,Home,Away,Scoresheet
0,Sassuolo,Verona,3 - 1
1,Roma,Milan,1 - 2
2,Bologna,Cagliari,2 - 1
3,Udinese,Frosinone,0 - 0
4,Atalanta,Monza,3 - 0
5,Napoli,Lazio,1 - 2
6,Inter,Fiorentina,4 - 0
7,Torino,Genoa,1 - 0
8,Empoli,Juventus,0 - 2
9,Lecce,Salernitana,2 - 0
