,Home,Away,Scoresheet
0,Lecce,Napoli,0 - 4
1,Milan,Lazio,2 - 0
2,Salernitana,Inter,0 - 4
3,Bologna,Empoli,3 - 0
4,Udinese,Genoa,2 - 2
5,Atalanta,Juventus,0 - 0
6,Roma,Frosinone,2 - 0
7,Sassuolo,Monza,0 - 1
8,Torino,Verona,0 - 0
9,Fiorentina,Cagliari,3 - 0
