,Home,Away,Scoresheet
0,Salernitana,Frosinone,1 - 1
1,Lecce,Genoa,1 - 0
2,Milan,Verona,1 - 0
3,Sassuolo,Juventus,4 - 2
4,Lazio,Monza,1 - 1
5,Empoli,Inter,0 - 1
6,Atalanta,Cagliari,2 - 0
7,Udinese,Fiorentina,0 - 2
8,Bologna,Napoli,0 - 0
9,Torino,Roma,1 - 1
