,Home,Away,Scoresheet
0,Salernitana,Lazio,2 - 1
1,Atalanta,Napoli,1 - 2
2,Milan,Fiorentina,1 - 0
3,Cagliari,Monza,1 - 1
4,Empoli,Sassuolo,3 - 4
5,Frosinone,Genoa,2 - 1
6,Roma,Udinese,3 - 1
7,Juventus,Inter,1 - 1
8,Verona,Lecce,2 - 2
9,Bologna,Torino,2 - 0
