,Home,Away,Scoresheet
0,Juventus,Napoli,1 - 0
1,Verona,Lazio,1 - 1
2,Atalanta,Milan,3 - 2
3,Inter,Udinese,4 - 0
4,Frosinone,Torino,0 - 0
5,Monza,Genoa,1 - 0
6,Salernitana,Bologna,1 - 2
7,Roma,Fiorentina,1 - 1
8,Empoli,Lecce,1 - 1
9,Cagliari,Sassuolo,2 - 1
