,Home,Away,Scoresheet
0,Juventus,Lazio,3 - 1
1,Inter,Milan,5 - 1
2,Genoa,Napoli,2 - 2
3,Cagliari,Udinese,0 - 0
4,Frosinone,Sassuolo,4 - 2
5,Monza,Lecce,1 - 1
6,Fiorentina,Atalanta,3 - 2
7,Roma,Empoli,7 - 0
8,Salernitana,Torino,0 - 3
9,Verona,Bologna,0 - 0
