,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
31,Benevento-Juventus,0.0,0.0,0.0,0.0,2.0,14.0,1.0,1.0,2.0,1.0,2.0,4.0,1.3333333333333333,2.333333333333333,1.8888888888888888,0.8888888888888888,0.8660254037844386,1.8708286933869709,1.0540925533894598,0.6009252125773316,2.0,1.0,1.0,0.0,1.0,5.0,2.0,3.0,3.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1 , 1
32,Atalanta-Verona,0.0,0.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,0.0,9.0,2.0,1.7777777777777777,1.3333333333333333,0.7777777777777778,1.8708286933869709,1.2018504251546631,1.2247448713915892,0.8333333333333334,1.0,1.0,2.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0 , 2
33,Lazio-Udinese,0.0,2.0,2.0,1.0,2.0,8.0,2.0,0.0,0.0,1.0,2.0,16.0,1.5555555555555556,1.7777777777777777,1.1111111111111112,1.3333333333333333,1.1303883305208782,1.4813657362192647,1.2692955176439846,1.0,0.0,2.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1 , 3
34,Bologna-Crotone,0.0,0.0,2.0,0.0,2.0,12.0,1.0,0.0,0.0,1.0,0.0,20.0,1.5555555555555556,1.5555555555555556,0.6666666666666666,2.2222222222222223,1.5092308563562362,1.130388330520878,0.7071067811865476,1.4813657362192647,3.0,1.0,3.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,1 , 0
35,Milan-Fiorentina,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,15.0,2.333333333333333,0.8888888888888888,1.1111111111111112,1.6666666666666667,0.5,1.0540925533894598,1.2692955176439846,1.224744871391589,2.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2 , 0
36,Cagliari-Spezia,2.0,2.0,0.0,2.0,0.0,11.0,1.0,1.0,0.0,2.0,1.0,13.0,1.7777777777777777,2.111111111111111,1.4444444444444444,1.8888888888888888,1.301708279317776,1.3642254619787415,1.0137937550497031,1.6158932858054431,3.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,4.0,0.0,0.0,2 , 2
37,Napoli-Roma,2.0,2.0,0.0,2.0,0.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,2.333333333333333,1.0,2.111111111111111,1.6666666666666667,1.9364916731037085,1.118033988749895,1.6158932858054431,1.5,4.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,4 , 0
38,Torino-Sampdoria,0.0,1.0,0.0,1.0,0.0,18.0,2.0,2.0,1.0,0.0,0.0,10.0,1.7777777777777777,2.4444444444444446,1.5555555555555556,1.6666666666666667,1.0929064207170005,1.509230856356236,1.130388330520878,1.0,2.0,3.0,3.0,0.0,2.0,3.0,3.0,4.0,0.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2 , 2
39,Genoa-Parma,1.0,0.0,1.0,0.0,0.0,19.0,0.0,1.0,1.0,1.0,0.0,17.0,0.8888888888888888,2.0,1.1111111111111112,1.8888888888888888,1.2692955176439846,1.7320508075688772,0.927960727138337,1.3642254619787415,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,1 , 2
40,Spezia-Lazio,1.0,0.0,2.0,1.0,1.0,14.0,2.0,2.0,1.0,2.0,0.0,9.0,1.4,1.9,1.6,1.7,0.966091783079296,1.523883926754995,1.07496769977314,1.4181364924121764,2.0,1.0,3.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,3.0,1 , 2
