,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
0,Juventus-Lecce,2.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.3333333333333333,0.8333333333333334,0.8944271909999159,1.5491933384829668,0.816496580927726,0.752772652709081,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0
1,Cagliari-Milan,1.0,0.0,0.0,1.0,0.0,19.0,2.0,2.0,2.0,0.0,2.0,2.0,0.3333333333333333,1.5,2.1666666666666665,1.3333333333333333,0.5163977794943223,1.224744871391589,1.1690451944500122,1.8618986725025253,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0
2,Empoli-Salernitana,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,1.0,17.0,0.1666666666666666,2.1666666666666665,0.6666666666666666,1.6666666666666667,0.408248290463863,2.4832774042918904,0.816496580927726,0.816496580927726,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0
3,Verona-Atalanta,2.0,2.0,0.0,1.0,0.0,10.0,2.0,0.0,2.0,0.0,2.0,6.0,0.6666666666666666,1.0,1.8333333333333333,0.8333333333333334,0.816496580927726,1.095445115010332,0.752772652709081,1.3291601358251257,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0
4,Inter-Sassuolo,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,12.0,2.5,0.5,1.8333333333333333,2.0,1.6431676725154984,0.8366600265340756,1.6020819787597222,1.095445115010332,2.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0
5,Lazio-Torino,0.0,0.0,2.0,0.0,1.0,15.0,1.0,0.0,2.0,2.0,1.0,9.0,1.1666666666666667,1.3333333333333333,1.0,1.1666666666666667,0.752772652709081,1.0327955589886446,1.095445115010332,1.602081978759722,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0
6,Napoli-Udinese,2.0,2.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,18.0,2.0,1.0,0.3333333333333333,1.6666666666666667,1.4142135623730951,0.8944271909999159,0.5163977794943223,1.632993161855452,3.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,4.0,1.0
7,Frosinone-Fiorentina,0.0,2.0,1.0,2.0,1.0,8.0,2.0,1.0,0.0,2.0,2.0,5.0,1.5,1.3333333333333333,2.0,1.6666666666666667,1.378404875209022,1.0327955589886444,1.4142135623730951,1.3662601021279464,1.0,2.0,0.0,4.0,1.0,3.0,1.0,0.0,2.0,1.0,4.0,2.0,0.0,3.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0
8,Monza-Bologna,0.0,2.0,0.0,1.0,1.0,14.0,0.0,1.0,2.0,1.0,1.0,11.0,0.6666666666666666,1.1666666666666667,0.5,0.6666666666666666,0.816496580927726,1.1690451944500122,0.8366600265340756,0.816496580927726,0.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
9,Genoa-Roma,0.0,2.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,2.0,1.0,13.0,1.3333333333333333,1.5,2.1666666666666665,1.8333333333333333,1.505545305418162,1.378404875209022,2.401388487243717,1.3291601358251257,1.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,0.0,1.0,4.0,1.0
10,Lecce-Napoli,1.0,2.0,1.0,2.0,0.0,6.0,2.0,0.0,1.0,1.0,2.0,5.0,1.1428571428571428,1.2857142857142858,2.2857142857142856,0.8571428571428571,0.8997354108424372,1.3801311186847085,1.4960264830861911,0.8997354108424372,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0
11,Milan-Lazio,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,12.0,2.142857142857143,1.1428571428571428,1.0,1.4285714285714286,1.0690449676496974,1.772810520855837,0.816496580927726,0.9759000729485332,4.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0
12,Salernitana-Inter,1.0,0.0,0.0,1.0,0.0,17.0,2.0,2.0,2.0,2.0,0.0,1.0,0.5714285714285714,2.0,2.7142857142857144,0.4285714285714285,0.7867957924694431,1.1547005383792517,1.6035674514745464,0.7867957924694431,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
