,squadra_casa,squadra_trasferta,risultato
0,Genoa,Salernitana,1 - 0
1,Sassuolo,Bologna,1 - 1
2,Lecce,Torino,0 - 1
3,Juventus,Verona,1 - 0
4,Cagliari,Frosinone,4 - 3
5,Monza,Udinese,1 - 1
6,Inter,Roma,1 - 0
7,Napoli,Milan,2 - 2
8,Empoli,Atalanta,0 - 3
9,Lazio,Fiorentina,1 - 0
