,squadra_casa,squadra_trasferta,risultato
0,Empoli,Lazio,0 - 2
1,Sassuolo,Genoa,1 - 2
2,Monza,Fiorentina,0 - 1
3,Salernitana,Milan,2 - 2
4,Frosinone,Juventus,1 - 2
5,Bologna,Atalanta,1 - 0
6,Torino,Udinese,1 - 1
7,Verona,Cagliari,2 - 0
8,Inter,Lecce,2 - 0
9,Roma,Napoli,2 - 0
