,squadra_casa,squadra_trasferta,risultato
0,Lazio,Milan,0 - 1
1,Udinese,Salernitana,1 - 1
2,Monza,Roma,1 - 4
3,Torino,Fiorentina,0 - 0
4,Verona,Sassuolo,1 - 0
5,Empoli,Cagliari,0 - 1
6,Frosinone,Lecce,1 - 1
7,Atalanta,Bologna,1 - 2
8,Napoli,Juventus,2 - 1
9,Inter,Genoa,2 - 1
