,squadra_casa,squadra_trasferta,risultato
0,Frosinone,Salernitana,3 - 0
1,Lecce,Monza,1 - 1
2,Juventus,Milan,0 - 0
3,Lazio,Verona,1 - 0
4,Inter,Torino,2 - 0
5,Bologna,Udinese,1 - 1
6,Atalanta,Empoli,2 - 0
7,Napoli,Roma,2 - 2
8,Fiorentina,Sassuolo,5 - 1
9,Genoa,Cagliari,3 - 0
