,squadra_casa,squadra_trasferta,risultato
0,Sassuolo,Salernitana,2 - 2
1,Genoa,Verona,1 - 0
2,Lecce,Milan,2 - 2
3,Juventus,Cagliari,2 - 1
4,Monza,Torino,1 - 1
5,Napoli,Empoli,0 - 1
6,Fiorentina,Bologna,2 - 1
7,Udinese,Atalanta,1 - 1
8,Lazio,Roma,0 - 0
9,Inter,Frosinone,2 - 0
