,squadra_casa,squadra_trasferta,risultato
0,Genoa,Lazio,0 - 1
1,Cagliari,Juventus,2 - 2
2,Empoli,Napoli,1 - 0
3,Verona,Udinese,1 - 0
4,Sassuolo,Lecce,0 - 3
5,Torino,Frosinone,0 - 0
6,Salernitana,Fiorentina,0 - 2
7,Monza,Atalanta,1 - 2
8,Roma,Bologna,1 - 3
9,Milan,Inter,1 - 2
