,squadra_casa,squadra_trasferta,risultato
0,Torino,Lecce,2 - 0
1,Inter,Salernitana,4 - 0
2,Napoli,Genoa,1 - 1
3,Verona,Juventus,2 - 2
4,Atalanta,Sassuolo,3 - 0
5,Lazio,Bologna,1 - 2
6,Empoli,Fiorentina,1 - 1
7,Udinese,Cagliari,1 - 1
8,Frosinone,Roma,0 - 3
9,Monza,Milan,4 - 2
