,squadra_casa,squadra_trasferta,risultato
0,Salernitana,Empoli,1 - 3
1,Cagliari,Lazio,1 - 3
2,Roma,Inter,2 - 4
3,Sassuolo,Torino,1 - 1
4,Fiorentina,Frosinone,5 - 1
5,Bologna,Lecce,4 - 0
6,Monza,Verona,0 - 0
7,Genoa,Atalanta,1 - 4
8,Milan,Napoli,1 - 0
9,Juventus,Udinese,0 - 1
