,squadra_casa,squadra_trasferta,risultato
0,Lazio,Salernitana,4 - 1
1,Lecce,Empoli,1 - 0
2,Torino,Juventus,0 - 0
3,Bologna,Monza,0 - 0
4,Napoli,Frosinone,2 - 2
5,Sassuolo,Milan,3 - 3
6,Inter,Cagliari,2 - 2
7,Fiorentina,Genoa,1 - 1
8,Atalanta,Verona,2 - 2
9,Udinese,Roma,1 - 2
