,squadra_casa,squadra_trasferta,risultato
0,Frosinone,Inter,0 - 5
1,Napoli,Bologna,0 - 2
2,Milan,Cagliari,5 - 1
3,Lazio,Empoli,2 - 0
4,Genoa,Sassuolo,2 - 1
5,Verona,Torino,1 - 2
6,Juventus,Salernitana,1 - 1
7,Atalanta,Roma,2 - 1
8,Lecce,Udinese,0 - 2
9,Fiorentina,Monza,2 - 1
