,squadra_casa,squadra_trasferta,risultato
0,Fiorentina,Torino,1 - 0
1,Napoli,Monza,0 - 0
2,Genoa,Inter,1 - 1
3,Lazio,Frosinone,3 - 1
4,Atalanta,Lecce,1 - 0
5,Cagliari,Empoli,0 - 0
6,Udinese,Bologna,3 - 0
7,Verona,Salernitana,0 - 1
8,Milan,Sassuolo,1 - 0
9,Juventus,Roma,1 - 0
