,squadra_casa,squadra_trasferta,risultato
0,Genoa,Torino,0 - 0
1,Napoli,Salernitana,2 - 1
2,Verona,Empoli,2 - 1
3,Monza,Inter,1 - 5
4,Lazio,Lecce,1 - 0
5,Cagliari,Bologna,2 - 1
6,Fiorentina,Udinese,2 - 2
7,Milan,Roma,3 - 1
8,Atalanta,Frosinone,5 - 0
9,Juventus,Sassuolo,3 - 0
