,squadra_casa,squadra_trasferta,risultato
0,Lecce,Fiorentina,3 - 2
1,Empoli,Genoa,0 - 0
2,Udinese,Monza,0 - 0
3,Frosinone,Milan,2 - 3
4,Bologna,Sassuolo,4 - 2
5,Torino,Salernitana,0 - 0
6,Napoli,Verona,2 - 1
7,Atalanta,Lazio,3 - 1
8,Inter,Juventus,1 - 0
9,Roma,Cagliari,4 - 0
