,squadra_casa,squadra_trasferta,risultato
0,Napoli,Torino,1 - 1
1,Cagliari,Salernitana,4 - 2
2,Sassuolo,Frosinone,1 - 0
3,Bologna,Inter,0 - 1
4,Genoa,Monza,2 - 3
5,Lecce,Verona,0 - 1
6,Milan,Empoli,1 - 0
7,Juventus,Atalanta,2 - 2
8,Fiorentina,Roma,2 - 2
9,Lazio,Udinese,1 - 2
