,squadra_casa,squadra_trasferta,risultato
0,Roma,Verona,2 - 1
1,Udinese,Milan,2 - 3
2,Frosinone,Cagliari,3 - 1
3,Empoli,Monza,3 - 0
4,Salernitana,Genoa,1 - 2
5,Lecce,Juventus,0 - 3
6,Bologna,Fiorentina,2 - 0
7,Torino,Lazio,0 - 2
8,Sassuolo,Napoli,1 - 6
9,Inter,Atalanta,4 - 0
