,squadra_casa,squadra_trasferta,risultato
0,Verona,Napoli,1 - 3
1,Torino,Inter,0 - 3
2,Sassuolo,Lazio,0 - 2
3,Roma,Monza,1 - 0
4,Bologna,Frosinone,2 - 1
5,Salernitana,Cagliari,2 - 2
6,Atalanta,Genoa,2 - 0
7,Milan,Juventus,0 - 1
8,Udinese,Lecce,1 - 1
9,Fiorentina,Empoli,0 - 2
