,squadra_casa,squadra_trasferta,risultato
0,Bologna,Verona,2 - 0
1,Sassuolo,Empoli,2 - 3
2,Salernitana,Monza,0 - 2
3,Genoa,Udinese,2 - 0
4,Juventus,Frosinone,3 - 2
5,Cagliari,Napoli,1 - 1
6,Lecce,Inter,0 - 4
7,Milan,Atalanta,1 - 1
8,Roma,Torino,3 - 2
9,Fiorentina,Lazio,2 - 1
