,squadra_casa,squadra_trasferta,risultato
0,Frosinone,Atalanta,2 - 1
1,Monza,Empoli,2 - 0
2,Verona,Roma,2 - 1
3,Milan,Torino,4 - 1
4,Fiorentina,Lecce,2 - 2
5,Juventus,Bologna,1 - 1
6,Lazio,Genoa,0 - 1
7,Napoli,Sassuolo,2 - 0
8,Salernitana,Udinese,1 - 1
9,Cagliari,Inter,0 - 2
