,squadra_casa,squadra_trasferta,risultato
0,Napoli,Atalanta,0 - 3
1,Genoa,Frosinone,1 - 1
2,Torino,Monza,1 - 0
3,Lazio,Juventus,1 - 0
4,Fiorentina,Milan,1 - 2
5,Bologna,Salernitana,3 - 0
6,Cagliari,Verona,1 - 1
7,Sassuolo,Udinese,1 - 1
8,Lecce,Roma,0 - 0
9,Inter,Empoli,2 - 0
