,squadra_casa,squadra_trasferta,risultato
0,Bologna,Lazio,1 - 0
1,Salernitana,Napoli,0 - 2
2,Atalanta,Inter,1 - 2
3,Milan,Udinese,0 - 1
4,Verona,Monza,1 - 3
5,Cagliari,Genoa,2 - 1
6,Roma,Lecce,2 - 1
7,Fiorentina,Juventus,0 - 1
8,Frosinone,Empoli,2 - 1
9,Torino,Sassuolo,2 - 1
