,squadra_casa,squadra_trasferta,risultato
0,Empoli,Bologna,0 - 1
1,Monza,Cagliari,1 - 0
2,Udinese,Torino,0 - 2
3,Salernitana,Lecce,0 - 1
4,Frosinone,Lazio,2 - 3
5,Juventus,Genoa,0 - 0
6,Verona,Milan,1 - 3
7,Atalanta,Fiorentina,0 - 0
8,Roma,Sassuolo,1 - 0
9,Inter,Napoli,1 - 1
