,squadra_casa,squadra_trasferta,risultato
0,Genoa,Juventus,1 - 1
1,Lecce,Frosinone,2 - 1
2,Napoli,Cagliari,2 - 1
3,Torino,Empoli,1 - 0
4,Milan,Monza,3 - 0
5,Fiorentina,Verona,1 - 0
6,Udinese,Sassuolo,2 - 2
7,Bologna,Roma,2 - 0
8,Lazio,Inter,0 - 2
9,Atalanta,Salernitana,4 - 1
