,squadra_casa,squadra_trasferta,risultato
0,Empoli,Udinese,0 - 0
1,Lecce,Sassuolo,1 - 1
2,Inter,Bologna,2 - 2
3,Juventus,Torino,2 - 0
4,Genoa,Milan,0 - 1
5,Monza,Salernitana,3 - 0
6,Frosinone,Verona,2 - 1
7,Lazio,Atalanta,3 - 2
8,Cagliari,Roma,1 - 4
9,Napoli,Fiorentina,1 - 3
