,squadra_casa,squadra_trasferta,risultato
0,Bologna,Genoa,1 - 1
1,Inter,Verona,2 - 1
2,Frosinone,Monza,2 - 3
3,Lecce,Cagliari,1 - 1
4,Sassuolo,Fiorentina,1 - 0
5,Empoli,Milan,0 - 3
6,Torino,Napoli,3 - 0
7,Udinese,Lazio,1 - 2
8,Salernitana,Juventus,1 - 2
9,Roma,Atalanta,1 - 1
