,squadra_casa,squadra_trasferta,risultato
0,Juventus,Lecce,1 - 0
1,Cagliari,Milan,1 - 3
2,Empoli,Salernitana,1 - 0
3,Verona,Atalanta,0 - 1
4,Inter,Sassuolo,1 - 2
5,Lazio,Torino,2 - 0
6,Napoli,Udinese,4 - 1
7,Frosinone,Fiorentina,1 - 1
8,Monza,Bologna,0 - 0
9,Genoa,Roma,4 - 1
