,squadra_casa,squadra_trasferta,risultato
0,Cagliari,Torino,1 - 2
1,Atalanta,Udinese,2 - 0
2,Juventus,Empoli,1 - 1
3,Milan,Bologna,2 - 2
4,Genoa,Lecce,2 - 1
5,Verona,Frosinone,1 - 1
6,Monza,Sassuolo,1 - 0
7,Lazio,Napoli,0 - 0
8,Fiorentina,Inter,0 - 1
9,Salernitana,Roma,1 - 2
