,squadra_casa,squadra_trasferta,risultato
0,Empoli,Venezia,1 - 2
1,Napoli,Juventus,2 - 1
2,Atalanta,Fiorentina,1 - 2
3,Sampdoria,Inter,2 - 2
4,Cagliari,Genoa,2 - 3
5,Spezia,Udinese,0 - 1
6,Torino,Salernitana,4 - 0
7,Milan,Lazio,2 - 0
8,Roma,Sassuolo,2 - 1
9,Bologna,Verona,1 - 0
