,squadra_casa,squadra_trasferta,risultato
0,Spezia,Genoa,1 - 1
1,Venezia,Salernitana,1 - 2
2,Milan,Torino,1 - 0
3,Juventus,Sassuolo,1 - 2
4,Sampdoria,Atalanta,1 - 3
5,Udinese,Verona,1 - 1
6,Cagliari,Roma,1 - 2
7,Empoli,Inter,0 - 2
8,Lazio,Fiorentina,1 - 0
9,Napoli,Bologna,3 - 0
