,squadra_casa,squadra_trasferta,risultato
0,Spezia,Venezia,1 - 0
1,Lazio,Sassuolo,2 - 1
2,Salernitana,Torino,0 - 1
3,Fiorentina,Empoli,1 - 0
4,Atalanta,Napoli,1 - 3
5,Udinese,Cagliari,5 - 1
6,Sampdoria,Roma,0 - 1
7,Juventus,Inter,0 - 1
8,Verona,Genoa,1 - 0
9,Milan,Bologna,0 - 0
