,squadra_casa,squadra_trasferta,risultato
0,Lazio,Genoa,3 - 1
1,Salernitana,Inter,0 - 5
2,Atalanta,Roma,1 - 4
3,Bologna,Juventus,0 - 2
4,Cagliari,Udinese,0 - 4
5,Fiorentina,Sassuolo,2 - 2
6,Spezia,Empoli,1 - 1
7,Sampdoria,Venezia,1 - 1
8,Torino,Verona,1 - 0
9,Milan,Napoli,0 - 1
