,squadra_casa,squadra_trasferta,risultato
0,Spezia,Salernitana,2 - 1
1,Lazio,Inter,3 - 1
2,Milan,Verona,3 - 2
3,Cagliari,Sampdoria,3 - 1
4,Empoli,Atalanta,1 - 4
5,Genoa,Sassuolo,2 - 2
6,Udinese,Bologna,1 - 1
7,Napoli,Torino,1 - 0
8,Juventus,Roma,1 - 0
9,Venezia,Fiorentina,1 - 0
