,squadra_casa,squadra_trasferta,risultato
0,Cagliari,Venezia,1 - 1
1,Salernitana,Genoa,1 - 0
2,Torino,Juventus,0 - 1
3,Sassuolo,Inter,1 - 2
4,Bologna,Lazio,3 - 0
5,Verona,Spezia,4 - 0
6,Sampdoria,Udinese,3 - 3
7,Fiorentina,Napoli,1 - 2
8,Roma,Empoli,2 - 0
9,Atalanta,Milan,2 - 3
